report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed
6358,23-09-2020 07:00,09-21-2020 21:00,22-09-2020 20:45,Delhi,521,FIREARM OFFENSE,57,F,Knife,Fire Accident,16,Yes,21-11-2020 07:00
6359,24-09-2020 12:00,09-21-2020 22:00,22-09-2020 01:04,Ludhiana,230,FRAUD,63,M,Blunt Object,Other Crime,2,Yes,21-12-2020 12:00
6360,24-09-2020 16:00,09-21-2020 23:00,22-09-2020 14:11,Bangalore,323,ASSAULT,50,F,Other,Violent Crime,17,Yes,09-11-2020 16:00
6364,24-09-2020 19:00,09-22-2020 03:00,22-09-2020 14:30,Nagpur,461,EXTORTION,62,F,Firearm,Other Crime,5,Yes,18-11-2020 19:00
6368,22-09-2020 15:00,09-22-2020 07:00,23-09-2020 00:21,Agra,546,BURGLARY,39,M,Blunt Object,Other Crime,10,Yes,30-12-2020 15:00
6370,22-09-2020 11:00,09-22-2020 09:00,23-09-2020 08:00,Jaipur,326,IDENTITY THEFT,70,M,Blunt Object,Violent Crime,12,Yes,30-10-2020 11:00
6373,25-09-2020 00:00,09-22-2020 12:00,22-09-2020 12:05,Hyderabad,184,SHOPLIFTING,19,F,Explosives,Other Crime,14,Yes,12-12-2020 00:00
6374,23-09-2020 19:00,09-22-2020 13:00,22-09-2020 14:43,Mumbai,448,TRAFFIC VIOLATION,32,F,Poison,Traffic Fatality,2,Yes,27-09-2020 19:00
6377,23-09-2020 05:00,09-22-2020 16:00,22-09-2020 18:43,Bangalore,547,IDENTITY THEFT,26,M,Explosives,Violent Crime,11,Yes,21-11-2020 05:00
6380,22-09-2020 23:00,09-22-2020 19:00,23-09-2020 17:56,Ludhiana,204,EXTORTION,24,F,Firearm,Other Crime,13,Yes,26-10-2020 23:00
6382,25-09-2020 16:00,09-22-2020 21:00,23-09-2020 01:44,Hyderabad,582,IDENTITY THEFT,10,M,Blunt Object,Violent Crime,2,Yes,05-10-2020 16:00
6384,23-09-2020 04:00,09-22-2020 23:00,23-09-2020 04:25,Mumbai,348,ASSAULT,27,F,Other,Violent Crime,2,Yes,04-10-2020 04:00
6387,24-09-2020 03:00,09-23-2020 02:00,24-09-2020 00:16,Ludhiana,219,ARSON,71,F,Other,Fire Accident,14,Yes,04-10-2020 03:00
6388,25-09-2020 08:00,09-23-2020 03:00,24-09-2020 01:55,Hyderabad,568,KIDNAPPING,31,F,Knife,Other Crime,3,Yes,23-11-2020 08:00
6394,23-09-2020 16:00,09-23-2020 09:00,23-09-2020 22:05,Kolkata,343,COUNTERFEITING,44,F,Firearm,Other Crime,10,Yes,28-11-2020 16:00
6399,25-09-2020 16:00,09-23-2020 14:00,23-09-2020 18:39,Indore,110,IDENTITY THEFT,75,F,Blunt Object,Violent Crime,8,Yes,25-11-2020 16:00
6400,23-09-2020 22:00,09-23-2020 15:00,23-09-2020 23:50,Kolkata,130,EXTORTION,78,F,Blunt Object,Other Crime,15,Yes,23-10-2020 22:00
6401,26-09-2020 09:00,09-23-2020 16:00,24-09-2020 08:12,Hyderabad,543,ARSON,78,F,Firearm,Fire Accident,5,Yes,18-10-2020 09:00
6402,26-09-2020 14:00,09-23-2020 17:00,24-09-2020 04:24,Bhopal,337,SHOPLIFTING,41,M,Blunt Object,Other Crime,4,Yes,29-10-2020 14:00
6403,26-09-2020 08:00,09-23-2020 18:00,24-09-2020 09:27,Kolkata,567,CYBERCRIME,48,F,Knife,Other Crime,10,Yes,01-11-2020 08:00
6405,24-09-2020 05:00,09-23-2020 20:00,24-09-2020 07:42,Hyderabad,526,SHOPLIFTING,74,F,Explosives,Other Crime,12,Yes,01-11-2020 05:00
6406,24-09-2020 09:00,09-23-2020 21:00,24-09-2020 18:57,Ludhiana,450,FRAUD,35,F,Firearm,Other Crime,15,Yes,21-12-2020 09:00
6409,25-09-2020 00:00,09-24-2020 00:00,24-09-2020 11:33,Srinagar,426,CYBERCRIME,49,F,Firearm,Other Crime,3,Yes,17-11-2020 00:00
6412,25-09-2020 09:00,09-24-2020 03:00,24-09-2020 18:09,Kanpur,451,EXTORTION,76,F,Blunt Object,Other Crime,3,Yes,26-11-2020 09:00
6413,26-09-2020 16:00,09-24-2020 04:00,24-09-2020 11:34,Delhi,267,ILLEGAL POSSESSION,66,F,Explosives,Other Crime,7,Yes,29-11-2020 16:00
6416,24-09-2020 13:00,09-24-2020 07:00,25-09-2020 04:05,Faridabad,117,DOMESTIC VIOLENCE,54,M,Firearm,Violent Crime,9,Yes,06-10-2020 13:00
6417,25-09-2020 03:00,09-24-2020 08:00,25-09-2020 04:14,Delhi,405,EXTORTION,63,M,Explosives,Other Crime,8,Yes,11-10-2020 03:00
6419,26-09-2020 16:00,09-24-2020 10:00,25-09-2020 01:07,Delhi,306,EXTORTION,79,F,Poison,Other Crime,13,Yes,15-10-2020 16:00
6420,25-09-2020 23:00,09-24-2020 11:00,25-09-2020 08:11,Lucknow,417,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,13,Yes,14-11-2020 23:00
6422,25-09-2020 12:00,09-24-2020 13:00,25-09-2020 01:55,Ahmedabad,546,COUNTERFEITING,43,F,Firearm,Other Crime,7,Yes,20-12-2020 12:00
6425,26-09-2020 04:00,09-24-2020 16:00,25-09-2020 07:35,Lucknow,360,COUNTERFEITING,62,M,Explosives,Other Crime,6,Yes,22-10-2020 04:00
6427,27-09-2020 06:00,09-24-2020 18:00,24-09-2020 18:35,Indore,172,VEHICLE - STOLEN,26,F,Firearm,Violent Crime,14,Yes,21-10-2020 06:00
6429,26-09-2020 05:00,09-24-2020 20:00,25-09-2020 14:35,Delhi,569,DOMESTIC VIOLENCE,51,F,Knife,Violent Crime,17,Yes,28-11-2020 05:00
6430,26-09-2020 06:00,09-24-2020 21:00,25-09-2020 01:57,Hyderabad,412,HOMICIDE,17,F,Knife,Other Crime,4,Yes,08-12-2021 06:00
6433,27-09-2020 03:00,09-25-2020 00:00,25-09-2020 04:06,Surat,347,DOMESTIC VIOLENCE,51,F,Knife,Violent Crime,1,Yes,06-10-2020 03:00
6434,25-09-2020 04:00,09-25-2020 01:00,25-09-2020 19:43,Bangalore,159,IDENTITY THEFT,68,F,Explosives,Violent Crime,19,Yes,26-11-2020 04:00
6436,26-09-2020 11:00,09-25-2020 03:00,25-09-2020 09:40,Pune,534,DOMESTIC VIOLENCE,47,M,Explosives,Violent Crime,14,Yes,15-11-2020 11:00
6439,27-09-2020 22:00,09-25-2020 06:00,25-09-2020 16:35,Kanpur,239,ROBBERY,50,F,Poison,Violent Crime,16,Yes,14-11-2020 22:00
6442,27-09-2020 09:00,09-25-2020 09:00,25-09-2020 20:22,Rajkot,537,IDENTITY THEFT,62,M,Firearm,Violent Crime,11,Yes,28-10-2020 09:00
6443,26-09-2020 06:00,09-25-2020 10:00,26-09-2020 03:05,Thane,527,VEHICLE - STOLEN,28,F,Other,Violent Crime,11,Yes,18-11-2020 06:00
6445,26-09-2020 02:00,09-25-2020 12:00,25-09-2020 17:53,Hyderabad,224,COUNTERFEITING,23,M,Poison,Other Crime,9,Yes,25-10-2020 02:00
6448,27-09-2020 11:00,09-25-2020 15:00,25-09-2020 19:34,Chennai,253,CYBERCRIME,56,M,Explosives,Other Crime,9,Yes,09-11-2020 11:00
6452,26-09-2020 16:00,09-25-2020 19:00,26-09-2020 08:47,Pune,288,ARSON,52,F,Knife,Fire Accident,5,Yes,03-12-2020 16:00
6454,28-09-2020 03:00,09-25-2020 21:00,26-09-2020 13:47,Hyderabad,210,BURGLARY,35,F,Poison,Other Crime,11,Yes,20-03-2021 03:00
6455,28-09-2020 13:00,09-25-2020 22:00,26-09-2020 16:00,Thane,316,DOMESTIC VIOLENCE,67,F,Blunt Object,Violent Crime,3,Yes,06-11-2020 13:00
6456,26-09-2020 09:00,09-25-2020 23:00,26-09-2020 13:10,Nagpur,447,FRAUD,18,M,Blunt Object,Other Crime,1,Yes,09-10-2020 09:00
6457,27-09-2020 09:00,09-26-2020 00:00,26-09-2020 02:34,Kolkata,103,KIDNAPPING,64,F,Blunt Object,Other Crime,1,Yes,11-12-2020 09:00
6458,28-09-2020 07:00,09-26-2020 01:00,26-09-2020 02:55,Delhi,321,ASSAULT,18,M,Poison,Violent Crime,15,Yes,19-11-2020 07:00
6459,29-09-2020 01:00,09-26-2020 02:00,26-09-2020 03:11,Bhopal,152,SHOPLIFTING,70,F,Knife,Other Crime,2,Yes,04-11-2020 01:00
6461,28-09-2020 10:00,09-26-2020 04:00,27-09-2020 01:04,Patna,406,ASSAULT,60,F,Blunt Object,Violent Crime,5,Yes,03-12-2020 10:00
6463,26-09-2020 12:00,09-26-2020 06:00,27-09-2020 04:26,Bangalore,380,EXTORTION,63,F,Firearm,Other Crime,17,Yes,10-11-2020 12:00
6466,28-09-2020 10:00,09-26-2020 09:00,27-09-2020 08:54,Kolkata,103,VEHICLE - STOLEN,38,F,Blunt Object,Violent Crime,4,Yes,02-12-2020 10:00
6468,27-09-2020 22:00,09-26-2020 11:00,27-09-2020 03:11,Mumbai,178,ROBBERY,45,F,Knife,Violent Crime,12,Yes,12-12-2020 22:00
6469,28-09-2020 21:00,09-26-2020 12:00,27-09-2020 09:04,Mumbai,408,VANDALISM,29,M,Firearm,Other Crime,6,Yes,12-11-2020 21:00
6472,28-09-2020 22:00,09-26-2020 15:00,27-09-2020 13:17,Delhi,431,DOMESTIC VIOLENCE,28,F,Explosives,Violent Crime,12,Yes,10-12-2020 22:00
6473,29-09-2020 15:00,09-26-2020 16:00,27-09-2020 14:01,Delhi,313,KIDNAPPING,49,F,Explosives,Other Crime,15,Yes,25-10-2020 15:00
6474,29-09-2020 16:00,09-26-2020 17:00,26-09-2020 22:36,Pune,540,ILLEGAL POSSESSION,31,M,Knife,Other Crime,12,Yes,01-11-2020 16:00
6475,27-09-2020 17:00,09-26-2020 18:00,27-09-2020 15:11,Hyderabad,183,KIDNAPPING,38,F,Knife,Other Crime,15,Yes,20-12-2020 17:00
6479,27-09-2020 11:00,09-26-2020 22:00,27-09-2020 21:58,Mumbai,405,VANDALISM,43,F,Explosives,Other Crime,3,Yes,01-12-2020 11:00
6480,29-09-2020 20:00,09-26-2020 23:00,27-09-2020 16:20,Nagpur,348,BURGLARY,32,M,Other,Other Crime,8,Yes,30-11-2020 20:00
6482,28-09-2020 09:00,09-27-2020 01:00,27-09-2020 14:52,Kolkata,160,ROBBERY,79,M,Explosives,Violent Crime,15,Yes,23-12-2020 09:00
6483,29-09-2020 07:00,09-27-2020 02:00,27-09-2020 09:45,Lucknow,467,DOMESTIC VIOLENCE,74,F,Explosives,Violent Crime,17,Yes,31-10-2020 07:00
6485,28-09-2020 08:00,09-27-2020 04:00,27-09-2020 20:23,Delhi,516,PUBLIC INTOXICATION,79,F,Explosives,Other Crime,13,Yes,18-10-2020 08:00
6486,29-09-2020 07:00,09-27-2020 05:00,27-09-2020 05:45,Kolkata,412,TRAFFIC VIOLATION,28,M,Blunt Object,Traffic Fatality,13,Yes,06-10-2020 07:00
6489,29-09-2020 03:00,09-27-2020 08:00,27-09-2020 08:38,Hyderabad,281,FIREARM OFFENSE,59,M,Blunt Object,Fire Accident,9,Yes,19-10-2020 03:00
6492,30-09-2020 07:00,09-27-2020 11:00,28-09-2020 07:14,Hyderabad,175,SHOPLIFTING,58,F,Firearm,Other Crime,9,Yes,19-12-2020 07:00
6493,28-09-2020 11:00,09-27-2020 12:00,28-09-2020 01:47,Delhi,230,ILLEGAL POSSESSION,17,M,Explosives,Other Crime,18,Yes,04-11-2020 11:00
6496,29-09-2020 00:00,09-27-2020 15:00,28-09-2020 09:38,Bhopal,300,ASSAULT,23,F,Other,Violent Crime,14,Yes,24-12-2020 00:00
6497,29-09-2020 05:00,09-27-2020 16:00,28-09-2020 12:17,Chennai,488,COUNTERFEITING,27,F,Firearm,Other Crime,5,Yes,13-10-2020 05:00
6498,28-09-2020 03:00,09-27-2020 17:00,28-09-2020 06:56,Mumbai,393,PUBLIC INTOXICATION,68,M,Blunt Object,Other Crime,4,Yes,21-10-2020 03:00
6499,30-09-2020 01:00,09-27-2020 18:00,27-09-2020 19:11,Chennai,347,EXTORTION,16,F,Poison,Other Crime,12,Yes,07-11-2020 01:00
6502,28-09-2020 02:00,09-27-2020 21:00,28-09-2020 01:25,Delhi,577,ASSAULT,26,F,Firearm,Violent Crime,8,Yes,01-12-2020 02:00
6511,30-09-2020 20:00,09-28-2020 06:00,28-09-2020 08:52,Mumbai,423,ILLEGAL POSSESSION,61,M,Firearm,Other Crime,5,Yes,13-10-2020 20:00
6512,29-09-2020 18:00,09-28-2020 07:00,29-09-2020 00:07,Thane,287,ROBBERY,55,F,Knife,Violent Crime,19,Yes,02-03-2021 18:00
6518,30-09-2020 07:00,09-28-2020 13:00,29-09-2020 02:31,Jaipur,360,FRAUD,29,M,Poison,Other Crime,19,Yes,30-10-2020 07:00
6524,01-10-2020 14:00,09-28-2020 19:00,29-09-2020 15:35,Bhopal,359,TRAFFIC VIOLATION,62,M,Other,Traffic Fatality,11,Yes,20-10-2020 14:00
6525,01-10-2020 04:00,09-28-2020 20:00,29-09-2020 00:52,Chennai,466,FRAUD,20,F,Explosives,Other Crime,12,Yes,04-11-2020 04:00
6526,01-10-2020 06:00,09-28-2020 21:00,29-09-2020 19:58,Kolkata,113,ILLEGAL POSSESSION,13,F,Blunt Object,Other Crime,10,Yes,01-12-2020 06:00
6527,29-09-2020 08:00,09-28-2020 22:00,29-09-2020 16:30,Delhi,535,EXTORTION,59,F,Poison,Other Crime,16,Yes,23-11-2020 08:00
6529,01-10-2020 18:00,09-29-2020 00:00,29-09-2020 15:22,Mumbai,395,DOMESTIC VIOLENCE,35,F,Other,Violent Crime,10,Yes,26-10-2020 18:00
6531,30-09-2020 09:00,09-29-2020 02:00,30-09-2020 01:39,Surat,384,ASSAULT,53,F,Explosives,Violent Crime,19,Yes,10-10-2020 09:00
6537,01-10-2020 12:00,09-29-2020 08:00,29-09-2020 15:30,Pune,401,FRAUD,32,F,Firearm,Other Crime,7,Yes,04-12-2020 12:00
6538,01-10-2020 08:00,09-29-2020 09:00,29-09-2020 18:18,Bangalore,255,DRUG OFFENSE,30,M,Knife,Other Crime,3,Yes,09-12-2020 08:00
6539,30-09-2020 06:00,09-29-2020 10:00,30-09-2020 04:36,Delhi,547,FIREARM OFFENSE,15,F,Explosives,Fire Accident,13,Yes,14-12-2020 06:00
6540,01-10-2020 23:00,09-29-2020 11:00,30-09-2020 00:47,Bangalore,112,ILLEGAL POSSESSION,31,F,Blunt Object,Other Crime,17,Yes,08-12-2020 23:00
6545,30-09-2020 20:00,09-29-2020 16:00,30-09-2020 12:30,Indore,486,FIREARM OFFENSE,25,F,Firearm,Fire Accident,12,Yes,09-11-2020 20:00
6547,02-10-2020 15:00,09-29-2020 18:00,30-09-2020 03:23,Lucknow,131,DOMESTIC VIOLENCE,68,F,Blunt Object,Violent Crime,14,Yes,03-12-2020 15:00
6550,30-09-2020 17:00,09-29-2020 21:00,30-09-2020 19:38,Bangalore,496,SHOPLIFTING,12,F,Other,Other Crime,13,Yes,29-10-2020 17:00
6551,01-10-2020 00:00,09-29-2020 22:00,30-09-2020 00:41,Patna,363,ASSAULT,74,M,Poison,Violent Crime,12,Yes,19-10-2020 00:00
6552,01-10-2020 15:00,09-29-2020 23:00,30-09-2020 20:29,Bangalore,282,COUNTERFEITING,77,F,Blunt Object,Other Crime,6,Yes,09-11-2020 15:00
6557,01-10-2020 17:00,09-30-2020 04:00,30-09-2020 12:07,Bangalore,178,CYBERCRIME,42,F,Knife,Other Crime,17,Yes,20-11-2020 17:00
6558,01-10-2020 00:00,09-30-2020 05:00,30-09-2020 18:07,Ahmedabad,455,SEXUAL ASSAULT,14,F,Explosives,Violent Crime,12,Yes,04-08-2022 00:00
6559,30-09-2020 20:00,09-30-2020 06:00,30-09-2020 14:12,Delhi,350,PUBLIC INTOXICATION,68,M,Poison,Other Crime,19,Yes,16-10-2020 20:00
6563,01-10-2020 00:00,09-30-2020 10:00,30-09-2020 14:32,Vasai,222,PUBLIC INTOXICATION,41,F,Other,Other Crime,18,Yes,08-10-2020 00:00
6564,01-10-2020 21:00,09-30-2020 11:00,01-10-2020 10:10,Kalyan,133,ROBBERY,48,F,Explosives,Violent Crime,3,Yes,04-11-2020 21:00
6565,03-10-2020 01:00,09-30-2020 12:00,01-10-2020 03:20,Surat,386,DOMESTIC VIOLENCE,68,F,Poison,Violent Crime,19,Yes,17-10-2020 01:00
6567,03-10-2020 07:00,09-30-2020 14:00,01-10-2020 03:08,Visakhapatnam,161,SEXUAL ASSAULT,66,F,Blunt Object,Violent Crime,8,Yes,02-10-2021 07:00
6568,01-10-2020 07:00,09-30-2020 15:00,01-10-2020 13:05,Kolkata,296,TRAFFIC VIOLATION,52,F,Blunt Object,Traffic Fatality,1,Yes,17-10-2020 07:00
6570,02-10-2020 06:00,09-30-2020 17:00,01-10-2020 09:09,Ahmedabad,150,DRUG OFFENSE,36,F,Explosives,Other Crime,17,Yes,02-12-2020 06:00
6572,02-10-2020 10:00,09-30-2020 19:00,01-10-2020 09:26,Agra,548,KIDNAPPING,17,F,Knife,Other Crime,10,Yes,15-12-2020 10:00
6575,01-10-2020 05:00,09-30-2020 22:00,01-10-2020 17:52,Delhi,509,ARSON,46,F,Other,Fire Accident,4,Yes,29-12-2020 05:00
6576,03-10-2020 02:00,09-30-2020 23:00,01-10-2020 04:20,Hyderabad,550,DRUG OFFENSE,63,F,Explosives,Other Crime,15,Yes,11-11-2020 02:00
6579,03-10-2020 08:00,10-01-2020 02:00,01-10-2020 12:35,Kolkata,294,SEXUAL ASSAULT,36,F,Knife,Violent Crime,19,Yes,26-06-2022 08:00
6580,02-10-2020 11:00,10-01-2020 03:00,01-10-2020 11:14,Delhi,239,DRUG OFFENSE,35,M,Other,Other Crime,6,Yes,17-12-2020 11:00
6581,02-10-2020 22:00,10-01-2020 04:00,01-10-2020 17:19,Delhi,445,ILLEGAL POSSESSION,18,M,Knife,Other Crime,9,Yes,24-12-2020 22:00
6587,03-10-2020 16:00,10-01-2020 10:00,01-10-2020 22:15,Chennai,492,COUNTERFEITING,26,M,Knife,Other Crime,17,Yes,31-12-2020 16:00
6591,04-10-2020 07:00,10-01-2020 14:00,02-10-2020 06:17,Delhi,361,HOMICIDE,42,F,Poison,Other Crime,5,Yes,28-04-2022 07:00
6602,04-10-2020 11:00,10-02-2020 01:00,02-10-2020 13:08,Ghaziabad,118,VEHICLE - STOLEN,65,F,Explosives,Violent Crime,14,Yes,16-12-2020 11:00
6604,03-10-2020 07:00,10-02-2020 03:00,02-10-2020 19:32,Patna,265,BURGLARY,44,F,Blunt Object,Other Crime,14,Yes,18-12-2020 07:00
6607,04-10-2020 19:00,10-02-2020 06:00,03-10-2020 04:16,Mumbai,510,ILLEGAL POSSESSION,74,M,Knife,Other Crime,4,Yes,30-10-2020 19:00
6608,04-10-2020 06:00,10-02-2020 07:00,02-10-2020 22:45,Jaipur,435,VANDALISM,17,F,Firearm,Other Crime,15,Yes,14-11-2020 06:00
6612,03-10-2020 06:00,10-02-2020 11:00,02-10-2020 22:38,Hyderabad,132,HOMICIDE,70,F,Blunt Object,Other Crime,10,Yes,28-06-2021 06:00
6614,04-10-2020 00:00,10-02-2020 13:00,02-10-2020 17:51,Mumbai,451,CYBERCRIME,30,F,Poison,Other Crime,1,Yes,04-11-2020 00:00
6616,04-10-2020 23:00,10-02-2020 15:00,03-10-2020 06:22,Kolkata,445,PUBLIC INTOXICATION,25,M,Poison,Other Crime,2,Yes,25-10-2020 23:00
6618,05-10-2020 05:00,10-02-2020 17:00,02-10-2020 17:43,Visakhapatnam,480,ILLEGAL POSSESSION,44,M,Knife,Other Crime,4,Yes,16-11-2020 05:00
6623,05-10-2020 07:00,10-02-2020 22:00,03-10-2020 18:40,Faridabad,485,ROBBERY,29,M,Firearm,Violent Crime,14,Yes,19-11-2020 07:00
6625,05-10-2020 09:00,10-03-2020 00:00,03-10-2020 04:22,Delhi,424,VANDALISM,59,F,Explosives,Other Crime,15,Yes,02-12-2020 09:00
6626,05-10-2020 03:00,10-03-2020 01:00,03-10-2020 22:31,Ahmedabad,540,PUBLIC INTOXICATION,16,F,Blunt Object,Other Crime,8,Yes,09-10-2020 03:00
6627,05-10-2020 16:00,10-03-2020 02:00,03-10-2020 18:21,Kanpur,171,DRUG OFFENSE,62,M,Poison,Other Crime,13,Yes,21-11-2020 16:00
6629,05-10-2020 21:00,10-03-2020 04:00,03-10-2020 07:31,Bangalore,530,DOMESTIC VIOLENCE,37,F,Knife,Violent Crime,9,Yes,19-12-2020 21:00
6635,05-10-2020 09:00,10-03-2020 10:00,03-10-2020 14:01,Nashik,487,KIDNAPPING,69,M,Firearm,Other Crime,2,Yes,14-11-2020 09:00
6639,05-10-2020 03:00,10-03-2020 14:00,04-10-2020 00:01,Bangalore,501,COUNTERFEITING,46,F,Poison,Other Crime,16,Yes,30-11-2020 03:00
6640,06-10-2020 12:00,10-03-2020 15:00,04-10-2020 12:27,Mumbai,173,VANDALISM,70,F,Poison,Other Crime,18,Yes,28-10-2020 12:00
6644,04-10-2020 17:00,10-03-2020 19:00,04-10-2020 05:33,Delhi,360,TRAFFIC VIOLATION,62,F,Explosives,Traffic Fatality,13,Yes,15-10-2020 17:00
6647,05-10-2020 19:00,10-03-2020 22:00,04-10-2020 21:25,Bangalore,398,ROBBERY,14,F,Poison,Violent Crime,1,Yes,12-01-2021 19:00
6648,05-10-2020 13:00,10-03-2020 23:00,04-10-2020 21:39,Delhi,219,DRUG OFFENSE,47,M,Firearm,Other Crime,16,Yes,23-11-2020 13:00
6650,04-10-2020 09:00,10-04-2020 01:00,04-10-2020 18:46,Hyderabad,390,SEXUAL ASSAULT,15,F,Poison,Violent Crime,12,Yes,10-07-2021 09:00
6652,05-10-2020 17:00,10-04-2020 03:00,05-10-2020 02:04,Mumbai,340,ARSON,79,F,Other,Fire Accident,18,Yes,06-11-2020 17:00
6653,06-10-2020 05:00,10-04-2020 04:00,04-10-2020 04:27,Mumbai,491,CYBERCRIME,61,F,Explosives,Other Crime,12,Yes,16-11-2020 05:00
6656,06-10-2020 14:00,10-04-2020 07:00,04-10-2020 21:53,Jaipur,168,FIREARM OFFENSE,58,F,Other,Fire Accident,4,Yes,13-12-2020 14:00
6659,05-10-2020 18:00,10-04-2020 10:00,04-10-2020 15:46,Nashik,244,COUNTERFEITING,76,M,Blunt Object,Other Crime,17,Yes,26-12-2020 18:00
6661,05-10-2020 10:00,10-04-2020 12:00,04-10-2020 22:58,Bangalore,311,DRUG OFFENSE,20,M,Explosives,Other Crime,18,Yes,21-10-2020 10:00
6662,07-10-2020 05:00,10-04-2020 13:00,05-10-2020 11:47,Hyderabad,158,SHOPLIFTING,63,F,Explosives,Other Crime,9,Yes,08-12-2020 05:00
6663,07-10-2020 06:00,10-04-2020 14:00,04-10-2020 14:35,Bangalore,460,FIREARM OFFENSE,49,F,Explosives,Fire Accident,2,Yes,07-12-2020 06:00
6666,07-10-2020 10:00,10-04-2020 17:00,04-10-2020 22:50,Chennai,506,BURGLARY,44,F,Knife,Other Crime,10,Yes,19-02-2021 10:00
6671,07-10-2020 19:00,10-04-2020 22:00,05-10-2020 08:13,Patna,275,PUBLIC INTOXICATION,54,F,Firearm,Other Crime,9,Yes,19-10-2020 19:00
6673,07-10-2020 11:00,10-05-2020 00:00,05-10-2020 16:30,Bangalore,293,ROBBERY,22,F,Firearm,Violent Crime,15,Yes,17-03-2021 11:00
6681,05-10-2020 17:00,10-05-2020 08:00,06-10-2020 00:41,Pune,105,COUNTERFEITING,49,F,Other,Other Crime,13,Yes,08-12-2020 17:00
6687,08-10-2020 09:00,10-05-2020 14:00,05-10-2020 20:13,Lucknow,152,HOMICIDE,23,F,Poison,Other Crime,8,Yes,18-09-2022 09:00
6688,06-10-2020 05:00,10-05-2020 15:00,05-10-2020 16:24,Delhi,397,VEHICLE - STOLEN,76,M,Poison,Violent Crime,8,Yes,20-11-2020 05:00
6691,07-10-2020 10:00,10-05-2020 18:00,06-10-2020 05:35,Mumbai,468,PUBLIC INTOXICATION,78,F,Other,Other Crime,1,Yes,22-10-2020 10:00
6693,08-10-2020 03:00,10-05-2020 20:00,06-10-2020 16:17,Kolkata,148,IDENTITY THEFT,21,M,Knife,Violent Crime,8,Yes,29-10-2020 03:00
6694,08-10-2020 06:00,10-05-2020 21:00,06-10-2020 18:55,Mumbai,259,SEXUAL ASSAULT,78,M,Blunt Object,Violent Crime,15,Yes,10-06-2021 06:00
6702,07-10-2020 00:00,10-06-2020 05:00,06-10-2020 09:08,Visakhapatnam,540,HOMICIDE,52,M,Blunt Object,Other Crime,6,Yes,13-08-2022 00:00
6708,06-10-2020 15:00,10-06-2020 11:00,07-10-2020 01:30,Patna,396,EXTORTION,26,F,Poison,Other Crime,18,Yes,22-12-2020 15:00
6709,08-10-2020 04:00,10-06-2020 12:00,07-10-2020 00:45,Ghaziabad,592,IDENTITY THEFT,41,F,Poison,Violent Crime,3,Yes,30-12-2020 04:00
6711,07-10-2020 18:00,10-06-2020 14:00,07-10-2020 01:51,Delhi,334,DOMESTIC VIOLENCE,35,F,Other,Violent Crime,18,Yes,20-11-2020 18:00
6717,08-10-2020 14:00,10-06-2020 20:00,07-10-2020 09:29,Bangalore,468,BURGLARY,51,M,Knife,Other Crime,12,Yes,28-02-2021 14:00
6721,08-10-2020 18:00,10-07-2020 00:00,07-10-2020 22:59,Ahmedabad,264,SHOPLIFTING,75,F,Blunt Object,Other Crime,9,Yes,24-12-2020 18:00
6722,07-10-2020 23:00,10-07-2020 01:00,07-10-2020 09:09,Kolkata,468,ILLEGAL POSSESSION,49,M,Blunt Object,Other Crime,8,Yes,13-11-2020 23:00
6723,09-10-2020 10:00,10-07-2020 02:00,08-10-2020 00:47,Bangalore,497,IDENTITY THEFT,26,M,Explosives,Violent Crime,17,Yes,23-10-2020 10:00
6724,08-10-2020 10:00,10-07-2020 03:00,07-10-2020 05:46,Patna,157,ARSON,53,F,Firearm,Fire Accident,11,Yes,30-12-2020 10:00
6725,07-10-2020 13:00,10-07-2020 04:00,08-10-2020 03:08,Bangalore,255,HOMICIDE,78,F,Knife,Other Crime,5,Yes,22-05-2021 13:00
6726,07-10-2020 13:00,10-07-2020 05:00,08-10-2020 02:50,Delhi,465,EXTORTION,73,M,Knife,Other Crime,7,Yes,19-10-2020 13:00
6729,08-10-2020 23:00,10-07-2020 08:00,07-10-2020 21:44,Delhi,569,DOMESTIC VIOLENCE,50,F,Explosives,Violent Crime,2,Yes,27-11-2020 23:00
6733,10-10-2020 03:00,10-07-2020 12:00,08-10-2020 10:54,Ghaziabad,547,VANDALISM,73,F,Other,Other Crime,15,Yes,26-10-2020 03:00
6734,09-10-2020 15:00,10-07-2020 13:00,08-10-2020 02:43,Ahmedabad,146,SHOPLIFTING,56,M,Blunt Object,Other Crime,12,Yes,13-11-2020 15:00
6735,08-10-2020 23:00,10-07-2020 14:00,08-10-2020 06:58,Mumbai,451,DOMESTIC VIOLENCE,79,M,Knife,Violent Crime,8,Yes,25-11-2020 23:00
6737,09-10-2020 18:00,10-07-2020 16:00,07-10-2020 22:19,Patna,528,BURGLARY,30,F,Explosives,Other Crime,18,Yes,01-01-2021 18:00
6738,09-10-2020 08:00,10-07-2020 17:00,07-10-2020 22:03,Delhi,321,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,3,Yes,04-02-2022 08:00
6741,09-10-2020 09:00,10-07-2020 20:00,07-10-2020 21:24,Delhi,217,DRUG OFFENSE,35,F,Poison,Other Crime,13,Yes,04-01-2021 09:00
